2025-06-07T23:27:48.329580989-05:00 ERROR Position LineCol { line: 2, col: 50 } column exceeds line length 33, clamping it
2025-06-07T23:27:48.329652023-05:00 ERROR Position LineCol { line: 2, col: 50 } column exceeds line length 33, clamping it
2025-06-07T23:27:48.329665504-05:00 ERROR Position LineCol { line: 2, col: 51 } column exceeds line length 33, clamping it
2025-06-07T23:27:48.329705875-05:00 ERROR Position LineCol { line: 2, col: 50 } column exceeds line length 33, clamping it
2025-06-07T23:27:48.329754-05:00 ERROR Position LineCol { line: 2, col: 50 } column exceeds line length 33, clamping it
2025-06-07T23:27:48.32977188-05:00 ERROR Position LineCol { line: 2, col: 51 } column exceeds line length 33, clamping it
2025-06-07T23:27:50.292552819-05:00 ERROR Position LineCol { line: 2, col: 34 } column exceeds line length 33, clamping it
2025-06-07T23:27:50.292608137-05:00 ERROR Position LineCol { line: 2, col: 39 } column exceeds line length 33, clamping it
2025-06-07T23:27:50.294807128-05:00 ERROR Position LineCol { line: 2, col: 50 } column exceeds line length 33, clamping it
2025-06-07T23:27:51.175195891-05:00 ERROR Position LineCol { line: 2, col: 34 } column exceeds line length 33, clamping it
2025-06-07T23:27:51.175258823-05:00 ERROR Position LineCol { line: 2, col: 39 } column exceeds line length 33, clamping it
2025-06-07T23:27:51.177680136-05:00 ERROR Position LineCol { line: 2, col: 50 } column exceeds line length 33, clamping it
2025-06-07T23:27:55.242326018-05:00 ERROR Position LineCol { line: 2, col: 34 } column exceeds line length 33, clamping it
2025-06-07T23:27:55.242385038-05:00 ERROR Position LineCol { line: 2, col: 39 } column exceeds line length 33, clamping it
2025-06-07T23:27:55.244703467-05:00 ERROR Position LineCol { line: 2, col: 50 } column exceeds line length 33, clamping it
2025-06-07T23:27:56.160657293-05:00 ERROR Position LineCol { line: 2, col: 50 } column exceeds line length 33, clamping it
2025-06-07T23:28:28.655195431-05:00 ERROR Position LineCol { line: 4, col: 34 } column exceeds line length 0, clamping it
2025-06-07T23:28:28.903812727-05:00 ERROR Position LineCol { line: 4, col: 34 } column exceeds line length 0, clamping it
